accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
93.1.88,1993-01-01,Platter with floral design,French?,brass and enamel,enamel disks around rim edge,WCMA-DEC ARTS,0.0
77.63.25.R,1977-01-01,Beads,Greek,gold foil,tubular,WCMA-ANCIENT,0.0
EL.83.3.6.A,,"Alteration of Lawrence Hall, Williams College, Williamstown: 1st Floor Plan",Harding and Seaver,blueprint facsimile,,WCMA-PRINTS,0.0
EL.75.3.5.B,,Foil band with disk,Greek?,gold foil,,WCMA-ANCIENT,0.0
91.15.70,1991-01-01,Modern pilgrimage souvenir,India,print on paper,adhered to paper,WCMA-EASTERN,0.0
60.37.1,1960-01-01,"Shawabti of Queen Hent-tausvy, second wife of Painezem I",Egyptian,faience,green,WCMA-ANCIENT,0.0
77.63.18,1977-01-01,Medallion with bust of woman,Greek,gold and garnet,,WCMA-ANCIENT,0.0
30.7.1,1930-01-01,Cross with incised design,Anonymous,brass,,WCMA-DEC ARTS,0.0
59.20.4,1959-01-01,Bokhara Rug,Bokhara,textile,,WCMA-EASTERN,0.0
93.1.201,1993-01-01,pottery shard,Anonymous,pottery,,WCMA-AMERINDIAN,0.0
43.2.156,1943-01-01,Candlestick,American,pewter,,WCMA-DEC ARTS,0.0
94.1.97,1994-01-01,Chest,Spanish?,wood | veneer,,WCMA-DEC ARTS,0.0
RC.22.19,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
78.31.11,1978-01-01,Framed Textile,Japanese?,silk brocade,,WCMA-EASTERN,0.0
EL.80.10.3,,Tapestry fragment with grotesque figure,Peruvian,textile,,WCMA-AMERINDIAN,0.0
63.32,1963-01-01,Dish,Chinese,ceramic,"round footed dish, inner lip decorated with ink drawings of leaves and circles, underglaze",WCMA-EASTERN,0.0
RC.17.67,1993-01-01,Untitled: Study of an eye,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
59.21.9.G,1959-01-01,Papyrus Column Amulet,Egyptian,faience,light blue,WCMA-ANCIENT,0.0
CG.19,1887-01-01,Ointment Vase,Greek,terracotta,"red clay painted black, body covered with a network of intersecting white lines, two narrow black bands encircle shoulder above which is a band of leaf design, white vertical bands on neck",WCMA-ANCIENT,0.0
RC.22.9,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
JE.1.F,1948-01-01,Scarab amulet,Egyptian,stone,blue-green color [paint or glaze?],WCMA-ANCIENT,0.0
61.19.1.N,1961-01-01,Bird amulet,Egyptian,blue glass,blue,WCMA-ANCIENT,0.0
93.1.42,1993-01-01,Necklace with beads and eye amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
61.19.1.C,1961-01-01,Lion amulet,Egyptian,faience,light blue. couchant lion; the god Shu?,WCMA-ANCIENT,0.0
79.75.57,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
85.46.47,1985-01-01,"Self Portrait II, February 15",Charles Beauchamp,etching,,WCMA-PRINTS,0.0
93.1.77.J,1993-01-01,Lid,Syrian?,baked clay,Rough form. Possible mistake from a pottery studio.,WCMA-ANCIENT,0.0
RC.22.7,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
64.18,1964-01-01,Rosary with Fourteen Passion Symbols,Sicilian,coral and gold,,WCMA-DEC ARTS,0.0
92.5.111,1992-01-01,The Sun of Venice Going to Sea,Gaucherel,etching on paper,,WCMA-PRINTS,0.0
79.75.22,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.66,1993-01-01,Headdress or Lid (?),Mesoamerican?,terracotta,,WCMA-AMERINDIAN,0.0
94.1.64,1959,Mirror,American?,gilt wood,,WCMA-DEC ARTS,0.0
93.1.130.B,1993-01-01,Hand axe?,Anonymous,stone,,WCMA-ANCIENT,0.0
93.1.156,1993-01-01,Fragment of a handle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
RC.22.18,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
78.30.24,1978-01-01,St. George and the Dragon,Anonymous (European),painted wood with felt and leather trim,,WCMA-SCULPTURE,0.0
RC.22.31.A,1994-01-01,Clog,Anonymous,wood,footwear,WCMA Reserve Collection,0.0
84.32.17,1984-01-01,Textile,Anonymous (Italian),velvet,red,WCMA-DEC ARTS,0.0
59.20.2,1959-01-01,Bokhara Rug,Bokhara,textile,,WCMA-EASTERN,0.0
48.2.4.C,1948-01-01,King's Rose China Dish,British,porcelain,rose china,WCMA-DEC ARTS,0.0
93.1.94.B,1993-01-01,Jar,Egyptian?,alabaster,,WCMA-ANCIENT,0.0
71.11.6,1971-01-01,Royal Mask,African,wood,,WCMA-AFRICAN,0.0
77.63.19,1977-01-01,Medallion phalera (or military insignia) with banqueting lovers,Roman,gold,"Detailed man and woman embracing.  Woman holds a small jar in one hand, wears necklace and snake arm band. This object could also be a pendant or attachment for a gold drinking vessel.",WCMA-ANCIENT,0.0
79.75.23,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.22.8,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
WP.51,1857-01-01,"Portrait of Samuel Shepard (1772-1846), Third Vice-President of Williams College 1834-1846, Trustee 1808-1846",Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.55,1993-01-01,Bottle in the form of a woman praying (Virgin?),Anonymous,pressed glass,amethyst,WCMA-DEC ARTS,0.0
59.21.32,1959-01-01,Scarab Amulet,Egyptian,green feldspar in silver mounting,,WCMA-ANCIENT,0.0
56.16.36.A,1956-01-01,Candlestick,Anonymous,gilt wood,,WCMA-DEC ARTS,0.0
94.1.100.B,1959,Mirror,American?,mirror,previously installed in Makepeace House,WCMA-DEC ARTS,0.0
TL.83.5.14,,Interior of Lawrence Hall Library with Sermon Books,N. C. Sanborn,photograph,,WCMA-PHOTO,0.0
EL.81.3.32,,"Additions to Williams College Library, Williamstown, MA.  First Floor Plan - LH 53",Allen and Collens,ink and pencil on linen paper,,WCMA-DRAWING,0.0
43.2.167,1943-01-01,Plate,American,pewter,,WCMA-DEC ARTS,0.0
62.32.17.D,1962-01-01,Hair ornament,Egyptian,stone?,white,WCMA-ANCIENT,0.0
93.1.77.K,1993-01-01,Bowl,Syrian?,baked clay,rough form. Possibly a mistake from a pottery studio. Possibly a lid.,WCMA-ANCIENT,0.0
EL.75.3.1.B,,Mouthpiece with palmettes,"Mycenaean, Greek",gold foil,,WCMA-ANCIENT,0.0
54.35,1954-01-01,Vase with hunting scenes,"Meissen, Germany",porcelain,,WCMA-DEC ARTS,0.0
93.1.130.C,1993-01-01,Tool,Anonymous,stone,,WCMA-ANCIENT,0.0
93.1.77.NN,1993-01-01,Small vase,Syrian?,baked clay,Possibly a part of a larger piece that was unscored and fell off during firing. Possibly a mistake from a pottery studio. Rough form.,WCMA-ANCIENT,0.0
RC.22.31.B,1994-01-01,Clog,Anonymous,wood,footwear,WCMA Reserve Collection,0.0
93.1.77.V,1993-01-01,Lid,Syrian?,baked clay,Possibly a mistake from a pottery workshop. Rough form.,WCMA-ANCIENT,0.0
82.10.10,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
JE.1.G,1948-01-01,Scarab amulet,Egyptian,stone,blue-green surface coloration [paint or glaze?],WCMA-ANCIENT,0.0
EL.83.13.2,,Graflex Series D Camera with case and film magazine,Agfa-Ansco,"leather, metal, glass and fabric",,WCMA-PHOTO,0.0
79.75.81,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.30.8.A,1959,Andiron,American,brass,,WCMA Reserve Collection,0.0
59.21.13.S,1959-01-01,Amulet of two-headed Bull [Cow?],Egyptian,faience,light blue-green [probably blue under dirt],WCMA-ANCIENT,0.0
87.22.7,1987-01-01,Bowl,Chinese,porcelain,"cloud? and flowers with geometric lozenges; blue,oragne-red, and gilt on white ground; border top and bottom",WCMA-EASTERN,0.0
RC.22.20,1994-01-01,Fragment,Anonymous,stone?,,WCMA Reserve Collection,0.0
92.6.1,1992-06-25,Untitled: palace scene with calligraphy,Chinese,ink on rice paper,,WCMA-EASTERN,0.0
85.46.36,1985-01-01,Ghost Sun,Catherine Catanzaro Koenig,drypoint etching on paper,,WCMA-PRINTS,0.0
59.21.13.H,1959-01-01,Horus (Falcon) amulet,Egyptian,faience,blue-green; apparently wearing double crown of Pharoah,WCMA-ANCIENT,0.0
50.20.15,1950-01-01,Stone Brushing of Calligraphy,East Central China,ink on rice paper,woodblock print.,WCMA-EASTERN,0.0
93.1.110,1993-01-01,Fragment with floral decoration,Anonymous,marble,buff colored,WCMA-ANCIENT,0.0
EL.75.3.14,,Ring with plain bezel,Greek?,gold,,WCMA-ANCIENT,0.0
RC.17.55,1993-01-01,Adam and Eve,Anonymous,photo mechanical reproduction,,WCMA Reserve Collection,0.0
93.1.12.C,1993-01-01,Animal Amulet,Egyptian,bronze,surface corrosion with accretions and green patina. couchant lion[?],WCMA-ANCIENT,0.0
93.1.142.F,1993-01-01,Fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
62.32.17.E,1962-01-01,Hair ornament,Egyptian,bone?,speckled white,WCMA-ANCIENT,0.0
EL.87.1.1,1987-01,Exercise in Fertility,Ann Glazer,charcoal on paper,,WCMA-DRAWING,0.0
94.24.18,1994-12-20,Chopper Bracelet,John A. Okulick,"18K vermeil, sterling silver",,WCMA-DEC ARTS,0.0
79.75.56,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
95.4.58,1995-03-03,Vase,Anonymous (Persian),ceramic,,WCMA-EASTERN,0.0
RC.30.8.B,1959,Andiron,American,brass,,WCMA Reserve Collection,0.0
79.75.118,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.34.1,1967-01-01,Elm Tree House with the Prentices and J.D. Rockefeller,Anonymous (American?),oil on canvas,,WCMA Reserve Collection,0.0
93.1.21,1993-01-01,Palette,Anonymous,stone,black/brown/green color,WCMA-ANCIENT,0.0
50.16,1950-01-01,Jar,Persian,ceramic,,WCMA-EASTERN,0.0
RC.4.36,1994-01-01,Cushion with floral design,American?,embroidery,stuffed,WCMA Reserve Collection,0.0
50.20.6,1950-01-01,Stone Brushing of Bronze Vessels,North Central China,ink on rice paper,,WCMA-EASTERN,0.0
81.27.3,1981-01-01,Standing Woman,Rajasthan,"pencil, ink and wash on paper",with details in red and white ink wash,WCMA-EASTERN,0.0
56.16.36.B,1956-01-01,Candlestick,Anonymous,gilt wood,,WCMA-DEC ARTS,0.0
EL.82.5.16,,Unsafe Tenement,After James Abbott McNeill Whistler,photogravure on paper,,WCMA-PRINTS,0.0
93.1.121.D,1993-01-01,Fragment from the Theatre at Dionysius at Athens,Greek,marble,,WCMA-ANCIENT,0.0
94.1.63,1959,End table with drawer,American?,wood,,WCMA-DEC ARTS,0.0
41.15.38,1941-01-01,Untitled Sketch,Li Yao,color on silk,,WCMA-EASTERN,0.0
RC.22.53,1994-01-01,Spear,New Zealand,wood,,WCMA Reserve Collection,0.0
43.3.1,1943-01-01,Large Plate with design,Japanese,porcelain,"interior with elaborate design of flowers and butterflies in green, blue, red and gold on a white ground; exterior with underglaze blue designs and line borders",WCMA-EASTERN,0.0
93.1.135.C,1993-01-01,Fragment of Inscribed ring,Anonymous,bronze,,WCMA-ANCIENT,0.0
93.1.143.G,1993-01-01,Nail fragment (?),Anonymous,iron (?),,WCMA-DEC ARTS,0.0
93.1.94.C,1993-01-01,Small jar,Egyptian?,alabaster,,WCMA-ANCIENT,0.0
RC.22.17,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
52.7,1952-01-01,Cartoon Drawings,John Harmon Cassel,drawings,see individual screens 52.7.1-50,WCMA-DRAWING,0.0
99.1.213,1999-03-05,The O-hi-o Idea.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,0.0
94.1.100.A,1959,Mirror,American?,mirror,,WCMA-DEC ARTS,0.0
RC.4.24,1994-01-01,Teaching aid: Italian Renaissance Ionic Order,German,print on paper mounted to canvas,,WCMA Reserve Collection,0.0
48.2.4.D,1948-01-01,King's Rose China Plate,British,porcelain,rose china,WCMA-DEC ARTS,0.0
61.19.1.B,1961-01-01,Animal Amulet,Egyptian,terracotta,couchant animal [hippo? lion?] very crude form,WCMA-ANCIENT,0.0
RC.24,1994-03-07,Textile,"Anonymous, (Thailand)",thai silk,blue and green,WCMA Reserve Collection,0.0
79.75.79,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
60.39.6.K,1960-01-01,Amulet of Serapis[?],Egyptian,faience,light blue-green,WCMA-ANCIENT,0.0
RC.30.14,1959,Bennington Ware Pitcher,American,stoneware,brown/yellow glaze; Rockingham?,WCMA Reserve Collection,0.0
79.75.35,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.12.M,1993-01-01,Bird [?] amulet,Egyptian,hematite,,WCMA-ANCIENT,0.0
61.19.1.M,1961-01-01,Aegis Amulet with Animal Head,Egyptian,faience,"Deep blue. Combination of collar,eye of Horus, animal [jackal?] head and other designs.",WCMA-ANCIENT,0.0
59.25.1,1959-01-01,Tankard with cover,Anonymous,burl,,WCMA-DEC ARTS,0.0
92.5.110,1992-01-01,Untitled: boats at sea,Alfred-Louis Brunet-Debaines,mezzotint on paper,,WCMA-PRINTS,0.0
77.63.25.C,1977-01-01,Bead,Greek,gold,,WCMA-ANCIENT,0.0
61.19,1961-01-01,Harbor Scene,attributed to Willem van Drillenburg,oil on panel,,WCMA-PAINTING,0.0
93.1.15.A,1993-01-01,Scarab,Egyptian,clay?,with black glaze,WCMA-ANCIENT,0.0
93.1.77.PP,1993-01-01,Small vase,Syrian?,baked clay,Possibly a mistake from a pottery workshop. Rough form.,WCMA-ANCIENT,0.0
79.75.11,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
82.22.48,1982-01-01,Royal Assemblage in a Temple,Anonymous (Chinese),painting on glass,,WCMA-EASTERN,0.0
79.75.69,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.1.70.C,1994-01-01,Turkeywork Side Chair,Italian?,upholstery | wood,floral tapestry,WCMA-DEC ARTS,0.0
94.1.34.B,1994-01-01,Textile panel,Italian?,velvet,blue grey color,WCMA-DEC ARTS,0.0
93.1.155.A,1993-01-01,Small spoon (?),Anonymous,copper,,WCMA-DEC ARTS,0.0
93.1.33,1993-01-01,Hoe,Anonymous,iron,,WCMA-DEC ARTS,0.0
RC.22.41,1994-01-01,Weapon or tool,Anonymous,wood,,WCMA Reserve Collection,0.0
94.1.29,1994-01-01,Textile with geometric design (scarf ?),Anonymous,textile,mustard yellow and white design,WCMA-DEC ARTS,0.0
25.1.1,1925-01-01,Oil Lamp,Early Christian,terracotta,,WCMA-ANCIENT,0.0
67.34.1,1967-01-01,Female Bust (Madonna?),Anonymous,white marble,,WCMA-SCULPTURE,0.0
79.75.67,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.24.19,1994-12-20,Temple Ring,John A. Okulick,sterling silver,,WCMA-DEC ARTS,0.0
50.20.7,1950-01-01,Stone Brushing of Bronze Vessels,North Central China,ink on rice paper,wood block print,WCMA-EASTERN,0.0
43.2.170,1943-01-01,Platter,American?,pewter,,WCMA-DEC ARTS,0.0
69.5.A,1969-01-01,Louis XV tabouret (low stool),French,upholstery | wood,pink upholstery,WCMA-DEC ARTS,0.0
44.2.4,1944-01-01,Engraved seal,Sasanian,glass,translucent; light blue,WCMA-ANCIENT,0.0
59.21.9.S,1959-01-01,Girdle of Isis (Tyet Amulet),Egyptian,stone,red,WCMA-ANCIENT,0.0
60.39.6.L,1960-01-01,Horus amulet,Egyptian,faience,medium blue; man with falcon head wearing the solar disc and uraeus,WCMA-ANCIENT,0.0
93.1.139.B,1993-01-01,Ornament or jewelry (?),Anonymous,bronze,enamel glaze?,WCMA-DEC ARTS,0.0
62.32.13,1962-01-01,Shawabti,Egyptian,faience,olive green color,WCMA-ANCIENT,0.0
93.1.177,1993-01-01,Plate with eagle crest and shield,Spanish?,luster ware,copper color,WCMA-DEC ARTS,0.0
92.5.143,1992-01-01,Untitled: Portrait of a man,Anonymous (German?),drypoint etching on paper,,WCMA-PRINTS,0.0
93.1.19,1993-01-01,Disk with petal base,Anonymous,metal,,WCMA-DEC ARTS,0.0
93.1.155.B,1993-01-01,Fragment of a handle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
79.75.120,1979-01-01,Pot Sherd,"Mycenaean, Greek",ceramic,,WCMA-ANCIENT,0.0
43.3.2,1943-01-01,Large Plate with design,Japanese,porcelain,"elaborate polychrome design of flowers and butterflies in green, blue, red and gold on white ground",WCMA-EASTERN,0.0
93.1.13.P,1993-01-01,Earring with Jackal head,Egyptian,bronze,green patina,WCMA-ANCIENT,0.0
50.20.14,1950-01-01,Stone Brushing of Bamboo,North Central China,ink on rice paper,,WCMA-EASTERN,0.0
93.1.93.A,1993-01-01,Tile,Anonymous,earthenware,blue/brown and white,WCMA-DEC ARTS,0.0
RC.4.23,1994-01-01,Teaching aid: Italian Renaissance Corinthian Order,German,print on paper mounted to canvas,,WCMA Reserve Collection,0.0
RC.4.12,1994-01-01,Clown with Horse,after Henri de Toulouse-Lautrec,color mechanical reproduction on paper,,WCMA Reserve Collection,0.0
92.5.171.C,1992-01-01,Vue du Jardin du Palais Royal,Jules Arnout,lithograph on paper,,WCMA-PRINTS,0.0
93.1.98,1993-01-01,Pottery shard,Egyptian?,faience,,WCMA-ANCIENT,0.0
75.43.8,1975-01-01,Thin-banded Ring with Red Stone,Greco-Roman,gold and carnelian,,WCMA-ANCIENT,0.0
43.2.111,1943-01-01,Coffee Grinder,American,wood and metal,,WCMA-DEC ARTS,0.0
RC.17.66,1993-01-01,Untitled: Study of lips and mouth,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
94.1.70.B,1994-01-01,Turkeywork Side Chair,Italian?,wood | tapestry,,WCMA-DEC ARTS,0.0
84.32.5,1984-01-01,Relief with two bearded figures,Assyrian,alabaster,,WCMA-ANCIENT,0.0
94.1.70.A,1994-01-01,Turkeywork Side Chair,Italian?,wood | tapestry,,WCMA-DEC ARTS,0.0
77.63.25.B,1977-01-01,Beads,Greek,gold foil,,WCMA-ANCIENT,0.0
79.75.106,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.142.E,1993-01-01,Screw decorated with bird figure,Anonymous,bronze,,WCMA-DEC ARTS,0.0
28.8.6,1928-01-01,Putto head,Capri,ceramic? | stone?,does not seem like ceramic-striations? appear on verso where worn,WCMA-ANCIENT,0.0
RC.22.27,1994-01-01,Four fragments of rocks,Anonymous,rock,,WCMA Reserve Collection,0.0
93.1.154,1993-01-01,Bracelet fragment (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
79.75.70,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.1.17,1959,Mirror with reverse painting,Anonymous (American?),mirror,,WCMA-DEC ARTS,0.0
60.36.3,1960-01-01,Handle with duck-head finial,Egyptian,bronze,,WCMA-ANCIENT,0.0
61.19.2.D,1961-01-01,Scarab,Egyptian,stone,,WCMA-ANCIENT,0.0
TI.16,1929-01-01,Square of lace,Sicilian,lace,white design on blue filet mounted on white silk with tassels and white pointed lace on edges,WCMA-DEC ARTS,0.0
94.1.4,1994-01-01,Landscape,Bancroft Braine,oil on canvas,,WCMA-PAINTING,0.0
93.1.77.UU,1993-01-01,Grave pot,Syrian?,baked clay,Possibly a mistake from a pottery workshop. Possibly a part of a larger piece. Rough form.,WCMA-ANCIENT,0.0
61.19.15.C,1961-01-01,Fragment of a mummy wrapping with hieratic inscription,Egyptian,linen?,mummy cloth,WCMA-ANCIENT,0.0
SIN.7,1910-01-01,Guatama Buddha,Indian,alabaster,,WCMA-EASTERN,0.0
92.5.88,1992-01-01,Portrait of a Man,Anonymous (American?),oil on panel,,WCMA-PAINTING,0.0
DI.6,1928-01-01,Cripples approaching a saint,Anonymous (Italian),pen and ink and wash with white heightening over red chalk on paper,"(verso) Untitled: figures, ink and red chalk on paper",WCMA-DRAWING,0.0
RC.4.32,1994-01-01,"Cast of West Frieze, Slab X with figures on horseback from the Elgin Marble Series, the Parthenon, Athens, Greece","P.P. Caproni and Brother, Plastic Arts",plaster,,WCMA Reserve Collection,0.0
60.39.6.T,1960-01-01,Heart shaped amulet,Egyptian,stone,black,WCMA-ANCIENT,0.0
92.5.171.D,1992-01-01,DÔme des Invalides,Jules Arnout,lithograph on paper,,WCMA-PRINTS,0.0
93.1.116,1993-01-01,Fragment from a mosaic,Anonymous,stone mosaic,,WCMA-ANCIENT,0.0
TI.31.1.B,1944-01-01,Pillow with coat of arms,Italian,velvet,purple velvet and satin backing,WCMA-DEC ARTS,0.0
87.22.6,1987-01-01,Vase,Chinese,porcelain,green baluster form vase with raised flower motif and goemetric border at top and bottom,WCMA-EASTERN,0.0
58.2.13,1958-01-01,Heart Scarab,Egyptian,green basalt?,,WCMA-ANCIENT,0.0
JE.1.E,1948-01-01,Scarab amulet,Egyptian,stone,"purple, transparent in places [amethyst or quartz?]",WCMA-ANCIENT,0.0
79.75.80,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.30.9.B,1959,Pitcher,American,stoneware,,WCMA Reserve Collection,0.0
61.19.1.X,1961-01-01,Amulet of Sebek,Egyptian,faience,,WCMA-ANCIENT,0.0
RC.15.12,1992-01-01,"Portrait of Lawrence H. Bloedel, Class of 1923",Anonymous (American),black and white photograph,,WCMA Reserve Collection,0.0
53.35.B,1953-01-01,Hanging lamp (from the Toledo Church),Spanish,glass | metal,blue glass; orange tassels,WCMA-DEC ARTS,0.0
59.21.13.O,1959-01-01,Djed Pillar amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
93.1.20,1993-01-01,Palette,Anonymous,stone,black/brown/green color,WCMA-ANCIENT,0.0
EL.83.13.9,,Compur-Rapid Camera (Jentura 66 deluxe),Agfa-Ansco,"metal, plastic and glass",,WCMA-PHOTO,0.0
93.1.30,1993-01-01,Small lamp,Anonymous,pewter,,WCMA-DEC ARTS,0.0
93.1.165,1993-01-01,Blue faience beads,Egyptian?,faience,,WCMA-ANCIENT,0.0
EL.75.3.5.A,,Foil band with disk,Greek?,gold foil,,WCMA-ANCIENT,0.0
93.1.14.H,1993-01-01,Hippo Amulet,Egyptian,stone,white,WCMA-ANCIENT,0.0
93.1.39,1993-01-01,Necklace with beads,Egyptian,beads,small off-white beads,WCMA-ANCIENT,0.0
JE.1.D,1948-01-01,Fish amulet,Egyptian,stone,,WCMA-ANCIENT,0.0
82.10.31,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
79.19.9,1979-01-01,Lock Key,European,iron,,WCMA-DEC ARTS,0.0
TI.6,1928-01-01,Brocade with floral pattern,Genoese,silk and velvet,gold; silk ground with raised design in velvet,WCMA-DEC ARTS,0.0
43.2.168,1943-01-01,Plate or Bowl,American,pewter,,WCMA-DEC ARTS,0.0
79.75.9,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
EL.75.3.22,,Olive Leaf Wreath,Greek,gold,,WCMA-ANCIENT,0.0
93.1.147.C,1993-01-01,Jewelry fragment (?),Anonymous,bronze? | iron?,,WCMA-DEC ARTS,0.0
59.21.13.P,1959-01-01,Djed Pillar amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
RC.30.1,1959,Mirror with Ship,Anonymous (American?),mirror | oil on glass | gilt wood,,WCMA Reserve Collection,0.0
93.1.118,1993-01-01,Fragment from a mosaic,Anonymous,stone mosaic,grey stone,WCMA-ANCIENT,0.0
62.32.12,1962-01-01,Shawabti,Egyptian,faience,green,WCMA-ANCIENT,0.0
56.16.41,1956-01-01,Rug,Persian,textile,,WCMA-EASTERN,0.0
94.1.36,1994-01-01,Drapery? with design,Italian?,velvet,dark green,WCMA-DEC ARTS,0.0
93.1.29,1993-01-01,Disk with links,Anonymous,metal?,delicate metal rings around edge,WCMA-DEC ARTS,0.0
93.1.167.B,1993-01-01,Medallion (?),Roman?,bronze,,WCMA-ANCIENT,0.0
RC.22.39,1994-01-01,Fishing line with hook,North American Indian?,"fishing line, hook, rope, shell",,WCMA Reserve Collection,0.0
92.5.87,1992-01-01,Portrait of a Man,Anonymous (American?),oil on canvas,,WCMA-PAINTING,0.0
77.63.25.T,1977-01-01,Beads,Greek,gold foil,,WCMA-ANCIENT,0.0
93.1.77.H,1993-01-01,Bowl,Syrian?,baked clay,Possible offering bowl. Rough form. Possible mistake from a pottery studio.,WCMA-ANCIENT,0.0
48.2.4.B,1948-01-01,King's Rose China Bowl,British,porcelain,rose china,WCMA-DEC ARTS,0.0
79.75.43,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
53.42.A,1953-01-01,Floor lamp with metal crown reflector,Spanish?,wrought iron,,WCMA-DEC ARTS,0.0
93.1.99.A,1993-01-01,Fragment with portion of a figure,Chinese?,glass,,WCMA-EASTERN,0.0
37.2.148,1937-01-01,The Sun of Venice Going to Sea,Gaucherel,etching on paper,,WCMA-PRINTS,0.0
93.1.121.C,1993-01-01,"Fragment from Parthenon, Acropolis, Athens",Greek,marble,,WCMA-ANCIENT,0.0
61.19.2.C,1961-01-01,Scarab,Egyptian,stone,,WCMA-ANCIENT,0.0
93.1.40,1993-01-01,"Necklace with beads, amulets and scarab",Egyptian,beads,multi-colored/multi-sized,WCMA-ANCIENT,0.0
94.24.27,1994-12-20,Squared Prism Ring,De Wain Valentine,sterling silver,,WCMA-DEC ARTS,0.0
